ID_AVS,CANAL,PLATAFORMA,URL,TIMESHIFT_URL
239,RBS TV SANTA MARIA,ANDROIDTABLETH,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
239,RBS TV SANTA MARIA,ANDROIDTV,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
239,RBS TV SANTA MARIA,APPLETV,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/h4f2/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/h4f2/stream_01/index.m3u8
239,RBS TV SANTA MARIA,CHROMECASTH,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
239,RBS TV SANTA MARIA,FIRETVSTICK,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
239,RBS TV SANTA MARIA,IPADH,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/h4f2/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/h4f2/stream_01/index.m3u8
239,RBS TV SANTA MARIA,IPHONEH,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/h4f2/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/h4f2/stream_01/index.m3u8
239,RBS TV SANTA MARIA,PCTV,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
239,RBS TV SANTA MARIA,SMARTTVLG,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
239,RBS TV SANTA MARIA,SMARTTVSAMSUNG,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SMAGLHD/dsc2/manifest.mpd
269,RBS TV SANTA ROSA,ANDROIDMOBILEH,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,ANDROIDTABLETH,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,ANDROIDTV,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,APPLETV,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/h4f1/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/h4f1/stream_01/index.m3u8
269,RBS TV SANTA ROSA,CHROMECASTH,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,FIRETVSTICK,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,IPADH,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/h4f1/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/h4f1/stream_01/index.m3u8
269,RBS TV SANTA ROSA,IPHONEH,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/h4f1/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/h4f1/stream_01/index.m3u8
269,RBS TV SANTA ROSA,PCTV,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,SMARTTVLG,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
269,RBS TV SANTA ROSA,SMARTTVSAMSUNG,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SROGLHD/dsc1/manifest.mpd
256,RBS TV URUGUAIANA,ANDROIDMOBILEH,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
256,RBS TV URUGUAIANA,ANDROIDTABLETH,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/ALGGLHD/dsc2/manifest.mpd
