ID_AVS,CANAL,PLATAFORMA,URL,TIMESHIFT_URL
251,VANGUARDA TAUBATE,IPHONEH,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/h4f4/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/h4f3/stream_01/index.m3u8
251,VANGUARDA TAUBATE,PCTV,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/dsc4/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/dsc4/manifest.mpd
251,VANGUARDA TAUBATE,SMARTTVLG,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/dsc4/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/dsc4/manifest.mpd
251,VANGUARDA TAUBATE,SMARTTVSAMSUNG,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/dsc4/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/TBTGLHD/dsc4/manifest.mpd
83,WARNER CHANNEL,ANDROIDMOBILEH,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,ANDROIDTABLETH,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,ANDROIDTV,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,APPLETV,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/h4f3/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/h4f3/stream_01/index.m3u8
83,WARNER CHANNEL,CHROMECASTH,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,FIRETVSTICK,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,IPADH,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/h4f3/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/h4f3/stream_01/index.m3u8
83,WARNER CHANNEL,IPHONEH,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/h4f3/stream_01/index.m3u8,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/h4f3/stream_01/index.m3u8
83,WARNER CHANNEL,PCTV,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,SMARTTVLG,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
83,WARNER CHANNEL,SMARTTVSAMSUNG,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd,https://getcdn.nowonline.com.br/Content/Channel/SPOWARHD/dsc3/manifest.mpd
